,edit_count,sentiment_mean,neg_sentiment_ratio
2023-02-12,0.6,-0.1668969139125612,0.2566666666666667
2023-02-13,0.6,-0.1668969139125612,0.2566666666666667
2023-02-14,0.6,-0.1668969139125612,0.2566666666666667
2023-02-15,0.6,-0.1668969139125612,0.2566666666666667
2023-02-16,0.6,-0.1668969139125612,0.2566666666666667
2023-02-17,0.6666666666666666,-0.14955973207950593,0.2455555555555556
2023-02-18,0.6,-0.1457581259806951,0.2288888888888889
2023-02-19,0.5333333333333333,-0.1133998203277588,0.19555555555555557
2023-02-20,0.36666666666666664,-0.13367693026860555,0.18888888888888894
2023-02-21,0.43333333333333335,-0.13368337949117023,0.2055555555555556
2023-02-22,0.4666666666666667,-0.1669179121653239,0.23888888888888893
2023-02-23,0.4666666666666667,-0.23253335952758789,0.27222222222222225
2023-02-24,0.43333333333333335,-0.19929882685343425,0.23888888888888893
2023-02-25,0.3333333333333333,-0.1665496759944492,0.2055555555555556
2023-02-26,0.43333333333333335,-0.15854649278852675,0.2166666666666667
2023-02-27,0.43333333333333335,-0.15802217258347406,0.2166666666666667
2023-02-28,0.43333333333333335,-0.15802217258347406,0.2166666666666667
2023-03-01,0.43333333333333335,-0.15805472665362888,0.2166666666666667
2023-03-02,0.5333333333333333,-0.1744155612256792,0.23888888888888893
2023-03-03,0.5666666666666667,-0.20756658977932402,0.27222222222222225
2023-03-04,0.7,-0.24085151818063527,0.3055555555555556
2023-03-05,0.7,-0.24085151818063527,0.3055555555555556
2023-03-06,0.7333333333333333,-0.20844642586178252,0.3055555555555556
2023-03-07,0.7333333333333333,-0.20844642586178252,0.3055555555555556
2023-03-08,0.7333333333333333,-0.20844642586178252,0.3055555555555556
2023-03-09,0.7666666666666667,-0.24117156333393522,0.3388888888888889
2023-03-10,0.7666666666666667,-0.25649843083487617,0.3388888888888889
2023-03-11,0.7666666666666667,-0.25649843083487617,0.3388888888888889
2023-03-12,0.8,-0.2898138966825273,0.3722222222222223
2023-03-13,0.8,-0.2898138966825273,0.3722222222222223
2023-03-14,0.8,-0.2898138966825273,0.3722222222222223
2023-03-15,0.8,-0.2898138966825273,0.3722222222222223
2023-03-16,0.8,-0.2898138966825273,0.3722222222222223
2023-03-17,0.8,-0.2898138966825273,0.3722222222222223
2023-03-18,0.8,-0.2898138966825273,0.3722222222222223
2023-03-19,0.7,-0.27427837186389503,0.35000000000000003
2023-03-20,0.7,-0.27427837186389503,0.35000000000000003
2023-03-21,0.7333333333333333,-0.30743653906716245,0.3833333333333334
